"movie_id","star_id"
901,911
921,911
910,919
929,919
693001,48002
872003,48003
764010,48004
764003,48006
492006,48007
788010,48007
412008,48010
48011,48011
48011,48012
764010,48014
764003,48015
872003,48016
135001,135003
135002,135005
135002,135006
156008,135007
135004,135008
135004,135009
135006,135012
135006,135013
135007,135015
135012,135022
135013,135023
135014,135024
140001,140002
140001,140003
140001,140004
140003,140010
140004,140011
140004,140012
683003,140012
140004,140013
140004,140014
683003,140014
755006,140014
683003,140016
683003,140017
140010,140020
156008,140020
490011,140020
140009,140022
140010,140024
150002,150002
150003,150003
150004,150004
150005,150005
150006,150006
150008,150008
150010,150010
156003,156005
156005,156009
156005,156010
156006,156011
156006,156012
156008,156016
156006,156023
764005,156023
217002,217022
217020,217022
217018,217025
217016,217028
217013,217031
217012,217032
140009,217033
217011,217033
217009,217035
217007,217037
217005,217040
217005,217042
326004,326103
326005,326103
326006,326105
217006,326111
490006,326111
135005,326112
135006,326112
872003,326112
872005,326112
634009,412005
693003,412005
755006,412005
412004,412017
412004,412018
217008,412019
412004,412019
872001,412019
412004,412020
693001,412026
693001,412027
907007,412029
907007,412030
217015,412031
907007,412031
907007,412032
422102,422402
422108,422404
259004,422405
422104,422405
422105,422405
326006,422406
422106,422406
490006,422406
422109,422409
422105,422410
928,490002
693001,490002
855003,490006
259005,490009
490011,490009
490008,490012
492002,492107
492003,492107
492009,492108
764010,492108
525001,525101
525002,525101
525003,525101
525004,525101
525005,525101
525007,525101
671020,525101
525006,525102
525008,525103
525009,525103
525010,525103
525011,525103
525012,525103
525013,525103
525014,525103
525017,525105
525018,525105
525019,525105
525020,525105
525001,525106
525002,525106
525003,525106
525004,525106
525005,525106
525006,525106
525007,525106
525008,525106
525009,525106
525010,525106
525011,525106
525013,525107
525014,525107
525015,525107
525016,525107
525017,525108
525018,525108
525019,525108
525020,525108
525001,525109
525002,525109
525003,525109
525004,525109
525005,525109
525006,525109
525007,525109
525008,525109
525009,525109
525010,525109
525011,525109
525012,525109
525013,525109
525014,525109
525015,525110
525016,525110
525017,525111
525018,525111
525019,525111
525020,525111
525002,525112
525003,525112
525004,525112
525005,525112
525006,525112
525007,525112
525009,525112
525010,525112
525011,525112
525012,525112
525013,525112
525014,525112
525015,525112
525016,525112
525017,525112
525018,525112
525019,525112
525019,525113
525020,525113
631001,631001
631001,631002
631002,631002
631003,631003
631003,631004
631004,631005
631004,631006
631005,631007
631006,631007
631008,631008
683001,631009
683001,631010
631009,631011
525015,631012
525016,631012
631010,631012
683001,631014
631002,631015
631002,631016
631002,631017
631002,631018
634002,634002
634003,634002
755012,634002
150009,634003
217010,634003
634004,634003
634005,634003
634006,634003
764002,634003
908,634004
927,634004
492002,634004
492003,634004
634004,634004
634005,634004
634006,634004
634002,634005
634003,634005
634004,634005
634005,634005
634006,634005
755012,634005
634004,634006
634005,634006
634006,634006
634004,634007
634005,634007
634006,634007
492002,634008
492003,634008
634004,634008
634005,634008
634006,634008
634007,634011
658009,658001
217008,658003
492001,658003
755005,658003
658003,658007
658001,658008
658006,658010
259001,658011
764010,658011
788010,658011
658004,658012
658003,658013
693007,658014
788010,658015
259008,658016
788013,658016
788013,658017
658006,658018
658006,658019
135009,671103
671006,671103
925,671105
135012,671105
326005,671105
326006,671105
671009,671105
671011,671107
671015,671109
671016,671109
671017,671109
683001,683001
683002,683001
683005,683001
683001,683002
683003,683003
683004,683004
683007,683007
683003,683008
683007,683008
683009,683010
683002,683013
683002,683014
872006,683016
683004,683018
683004,683019
683007,683020
683005,683021
156001,693100
658001,693100
658008,693100
693000,693100
693005,693100
693006,693100
693001,693101
634009,693103
693003,693103
492002,693104
492003,693104
634004,693104
693004,693104
156001,693105
156001,693106
693000,693106
693005,693106
217005,693108
872003,693108
490011,693109
634009,693109
693003,693109
764010,693109
788018,693109
855006,693109
693005,693111
693006,693112
259006,693113
693006,693113
872006,693113
693007,693115
217017,693116
671013,693116
671014,693116
693008,693116
693009,693117
872003,693118
693000,693119
755003,755001
135002,755003
671019,755003
671020,755003
755007,755003
217015,755005
259003,755005
755004,755005
671004,755006
788011,755006
755009,755007
764005,755008
490010,755010
634002,755010
634003,755010
755012,755010
755010,755011
422103,755012
755001,755012
755013,755013
755005,755014
755014,755014
905,755015
492001,755015
755003,755015
755014,755015
683005,755016
755009,755016
755009,755017
764001,764001
764002,764002
764003,764003
764005,764005
217003,764006
326002,764006
872003,764006
764007,764007
764008,764008
764009,764009
764001,764011
156003,764012
764001,764012
764001,764013
671001,764014
671002,764014
671003,764014
764001,764014
764001,764015
764001,764016
764008,764017
764008,764018
764008,764019
764008,764020
788001,788001
788014,788001
788016,788001
788017,788001
907,788002
926,788002
788002,788002
788005,788002
217006,788003
788008,788003
788013,788003
788014,788003
140001,788006
634009,788006
671010,788006
693003,788006
755006,788006
788005,788006
788016,788006
140003,788007
140004,788007
217020,788007
788004,788007
217016,788009
764004,788009
788007,788009
907007,788009
658008,788010
671007,788010
693007,788010
788015,788010
788017,788010
788018,788010
788012,788011
422110,855100
855001,855100
855001,855101
855002,855101
135001,855102
490003,855102
855002,855102
855003,855103
490012,855104
855003,855104
855004,855104
490012,855105
490015,855105
490016,855105
634009,855105
683006,855105
693003,855105
755006,855105
855004,855105
855005,855105
135001,855106
140003,855106
156008,855106
412002,855106
634009,855106
683006,855106
693003,855106
755006,855106
755008,855106
764002,855106
764010,855106
855005,855106
855005,855107
855006,855107
634009,855108
683006,855108
693003,855108
755006,855108
764010,855108
855005,855108
855006,855108
135011,855109
150001,855109
855007,855109
855008,855109
855007,855110
855009,855110
855008,855111
855009,855112
872001,872001
683008,872002
872002,872002
135005,872003
326004,872003
872003,872003
872004,872003
872005,872003
872004,872004
872005,872004
872005,872005
872006,872005
788004,872006
788015,872006
788016,872006
872006,872006
872007,872006
872007,872007
872008,872007
326008,872008
490006,872008
755005,872008
788009,872008
872008,872008
872009,872008
872009,872009
872010,872009
872010,872010
872011,872010
872011,872011
872012,872011
492001,907000
693005,907000
907000,907000
907009,907000
907001,907001
907008,907001
907002,907002
907007,907002
907003,907003
907006,907003
907004,907004
907005,907004
907004,907005
907005,907005
907003,907006
907006,907006
217002,907007
217019,907007
907002,907007
907007,907007
907001,907008
907008,907008
907000,907009
907009,907009
